"S","p","r","F","model","npar","QAICc","DeltaQAICc","weight","Neg2LnL","chat"
"~ageclass * cond + ageclass * djfm + Sex + Morph + ageclass * Lprev + ageclass * Ekto + ageclass * ageclass * Hatch + ageclass * Rank","~time + ageclass","~1","~Sex * ageclass","S(~ageclass * cond + ageclass * djfm + Sex + Morph + ageclass * Lprev + ageclass * Ekto + ageclass * ageclass * Hatch + ageclass * Rank)p(~time + ageclass)r(~1)F(~Sex * ageclass)",54,5060.94626087131,29.81,0,6630.68,1.33923167422218
"~ageclass * cond + djfm + ageclass * Lprev","~time + ageclass","~1","~1","S(~ageclass * cond + djfm + ageclass * Lprev)p(~time + ageclass)r(~1)F(~1)",30,5061.19001027891,30.05,0,6696.99,1.33923167422218
"~ageclass * cond + ageclass * djfm + ageclass * Lprev","~time + ageclass","~1","~1","S(~ageclass * cond + ageclass * djfm + ageclass * Lprev)p(~time + ageclass)r(~1)F(~1)",33,5061.71224033084,30.57,0,6689.49,1.33923167422218
"~ageclass * cond + ageclass * djfm + ageclass * Hatch + Sex","~time + ageclass","~1","~1","S(~ageclass * cond + ageclass * djfm + ageclass * Hatch + Sex)p(~time + ageclass)r(~1)F(~1)",34,5061.73069859098,30.59,0,6686.78,1.33923167422218
"~ageclass * djfm + ageclass * Hatch + Sex","~time + ageclass","~1","~Sex + ageclass","S(~ageclass * djfm + ageclass * Hatch + Sex)p(~time + ageclass)r(~1)F(~Sex + ageclass)",34,5061.7598944357,30.62,0,6686.82,1.33923167422218
"~ageclass * djfm + Sex","~time + ageclass","~1","~Sex * ageclass","S(~ageclass * djfm + Sex)p(~time + ageclass)r(~1)F(~Sex * ageclass)",33,5062.08334863836,30.94,0,6689.99,1.33923167422218
"~ageclass * cond + Sex","~time + ageclass","~ageclass","~Sex + ageclass","S(~ageclass * cond + Sex)p(~time + ageclass)r(~ageclass)F(~Sex + ageclass)",33,5062.45311289165,31.31,0,6690.48,1.33923167422218
"~ageclass * cond + ageclass * djfm + Sex + Morph + ageclass * Lprev + ageclass * Ekto + ageclass * ageclass * Hatch + ageclass * Rank","~time + ageclass","~ageclass","~Sex * ageclass","S(~ageclass * cond + ageclass * djfm + Sex + Morph + ageclass * Lprev + ageclass * Ekto + ageclass * ageclass * Hatch + ageclass * Rank)p(~time + ageclass)r(~ageclass)F(~Sex * ageclass)",57,5064.17297240316,33.03,0,6626.69,1.33923167422218
"~ageclass + Sex","~time + ageclass","~ageclass","~1","S(~ageclass + Sex)p(~time + ageclass)r(~ageclass)F(~1)",25,5065.6631505428,34.52,0,6716.6,1.33923167422218
"~ageclass * djfm + ageclass * Hatch + Sex","~time + ageclass","~1","~Sex * ageclass","S(~ageclass * djfm + ageclass * Hatch + Sex)p(~time + ageclass)r(~1)F(~Sex * ageclass)",37,5065.68203433301,34.54,0,6683.86,1.33923167422218
"~ageclass * cond + ageclass * djfm + Sex + Morph + ageclass * Lprev + ageclass * Ekto + ageclass * ageclass * Hatch + ageclass * Rank * Brood_Size","~time + ageclass","~ageclass","~1","S(~ageclass * cond + ageclass * djfm + Sex + Morph + ageclass * Lprev + ageclass * Ekto + ageclass * ageclass * Hatch + ageclass * Rank * Brood_Size)p(~time + ageclass)r(~ageclass)F(~1)",58,5065.80398545105,34.66,0,6626.1,1.33923167422218
"~ageclass * cond + ageclass * djfm + Sex + Morph + ageclass * Lprev + ageclass * Ekto + ageclass * ageclass * Hatch + ageclass * Rank * Brood_Size","~time + ageclass","~ageclass","~Sex + ageclass","S(~ageclass * cond + ageclass * djfm + Sex + Morph + ageclass * Lprev + ageclass * Ekto + ageclass * ageclass * Hatch + ageclass * Rank * Brood_Size)p(~time + ageclass)r(~ageclass)F(~Sex + ageclass)",62,5066.69055680126,35.55,0,6616.16,1.33923167422218
"~ageclass + Sex","~time + ageclass","~ageclass","~Sex + ageclass","S(~ageclass + Sex)p(~time + ageclass)r(~ageclass)F(~Sex + ageclass)",29,5068.02586267632,36.89,0,6708.87,1.33923167422218
"~ageclass * cond + Sex","~time + ageclass","~ageclass","~Sex * ageclass","S(~ageclass * cond + Sex)p(~time + ageclass)r(~ageclass)F(~Sex * ageclass)",36,5068.58290016187,37.44,0,6690.48,1.33923167422218
"~ageclass * cond + ageclass * djfm + Sex + Morph + ageclass * Lprev + ageclass * Ekto","~time + ageclass","~1","~1","S(~ageclass * cond + ageclass * djfm + Sex + Morph + ageclass * Lprev + ageclass * Ekto)p(~time + ageclass)r(~1)F(~1)",39,5069.80335023076,38.66,0,6683.9,1.33923167422218
"~ageclass * cond + Sex","~time + ageclass","~1","~Sex + ageclass","S(~ageclass * cond + Sex)p(~time + ageclass)r(~1)F(~Sex + ageclass)",30,5069.91590903484,38.78,0,6708.67,1.33923167422218
"~ageclass * cond + ageclass * djfm + Sex + Morph + ageclass * Lprev + ageclass * Ekto + ageclass * ageclass * Hatch + ageclass * Rank * Brood_Size","~time + ageclass","~1","~Sex + ageclass","S(~ageclass * cond + ageclass * djfm + Sex + Morph + ageclass * Lprev + ageclass * Ekto + ageclass * ageclass * Hatch + ageclass * Rank * Brood_Size)p(~time + ageclass)r(~1)F(~Sex + ageclass)",59,5072.22619275925,41.09,0,6631.92,1.33923167422218
"~ageclass * djfm + Sex","~time + ageclass","~1","~1","S(~ageclass * djfm + Sex)p(~time + ageclass)r(~1)F(~1)",26,5073.48773002247,42.35,0,6724.36,1.33923167422218
"~ageclass * cond + Sex","~time + ageclass","~1","~Sex * ageclass","S(~ageclass * cond + Sex)p(~time + ageclass)r(~1)F(~Sex * ageclass)",33,5073.73809090621,42.6,0,6705.6,1.33923167422218
"~ageclass + Sex","~time + ageclass","~ageclass","~Sex * ageclass","S(~ageclass + Sex)p(~time + ageclass)r(~ageclass)F(~Sex * ageclass)",32,5074.1406052188,43,0,6708.87,1.33923167422218
"~ageclass * cond + ageclass * djfm + Sex + Morph + ageclass * Lprev + ageclass * Ekto + ageclass * ageclass * Hatch + ageclass * Rank * Brood_Size","~time + ageclass","~1","~Sex * ageclass","S(~ageclass * cond + ageclass * djfm + Sex + Morph + ageclass * Lprev + ageclass * Ekto + ageclass * ageclass * Hatch + ageclass * Rank * Brood_Size)p(~time + ageclass)r(~1)F(~Sex * ageclass)",62,5075.86006812359,44.72,0,6628.44,1.33923167422218
"~ageclass * cond + ageclass * djfm + Sex","~1","~ageclass","~Sex + ageclass","S(~ageclass * cond + ageclass * djfm + Sex)p(~1)r(~ageclass)F(~Sex + ageclass)",23,5076.16570347699,45.03,0,6736.1,1.33923167422218
"~ageclass * cond + ageclass * djfm + Sex","~1","~ageclass","~1","S(~ageclass * cond + ageclass * djfm + Sex)p(~1)r(~ageclass)F(~1)",19,5076.49138564621,45.35,0,6747.4,1.33923167422218
"~ageclass * cond + ageclass * djfm + Sex + Morph + ageclass * Lprev + ageclass * Ekto + ageclass * ageclass * Hatch + ageclass * Rank","~time + ageclass","~1","~1","S(~ageclass * cond + ageclass * djfm + Sex + Morph + ageclass * Lprev + ageclass * Ekto + ageclass * ageclass * Hatch + ageclass * Rank)p(~time + ageclass)r(~1)F(~1)",47,5076.81548824931,45.68,0,6671.28,1.33923167422218
"~ageclass * djfm + ageclass * Hatch + Sex","~time + ageclass","~1","~1","S(~ageclass * djfm + ageclass * Hatch + Sex)p(~time + ageclass)r(~1)F(~1)",30,5077.09599608407,45.96,0,6718.29,1.33923167422218
"~ageclass * cond + ageclass * djfm + Sex + Morph + ageclass * Lprev + ageclass * Ekto + ageclass * ageclass * Hatch + ageclass * Rank * Brood_Size","~time + ageclass","~ageclass","~Sex * ageclass","S(~ageclass * cond + ageclass * djfm + Sex + Morph + ageclass * Lprev + ageclass * Ekto + ageclass * ageclass * Hatch + ageclass * Rank * Brood_Size)p(~time + ageclass)r(~ageclass)F(~Sex * ageclass)",65,5077.26179021309,46.12,0,6621.96,1.33923167422218
"~ageclass * djfm + Sex","~1","~ageclass","~1","S(~ageclass * djfm + Sex)p(~1)r(~ageclass)F(~1)",15,5080.49688897695,49.36,0,6763.59,1.33923167422218
"~ageclass * cond + ageclass * djfm + ageclass * Lprev","~1","~ageclass","~1","S(~ageclass * cond + ageclass * djfm + ageclass * Lprev)p(~1)r(~ageclass)F(~1)",22,5080.92191801888,49.78,0,6745.19,1.33923167422218
"~ageclass * djfm + Sex","~1","~ageclass","~Sex + ageclass","S(~ageclass * djfm + Sex)p(~1)r(~ageclass)F(~Sex + ageclass)",19,5081.05855659783,49.92,0,6753.51,1.33923167422218
"~ageclass * cond + ageclass * djfm + Sex","~1","~ageclass","~Sex * ageclass","S(~ageclass * cond + ageclass * djfm + Sex)p(~1)r(~ageclass)F(~Sex * ageclass)",26,5081.37038408688,50.23,0,6734.92,1.33923167422218
"~ageclass * cond + djfm + ageclass * Lprev","~1","~ageclass","~1","S(~ageclass * cond + djfm + ageclass * Lprev)p(~1)r(~ageclass)F(~1)",19,5083.03715376739,51.9,0,6756.16,1.33923167422218
"~ageclass * cond + ageclass * djfm + ageclass * Hatch + Sex","~1","~ageclass","~1","S(~ageclass * cond + ageclass * djfm + ageclass * Hatch + Sex)p(~1)r(~ageclass)F(~1)",23,5083.19286702244,52.05,0,6745.52,1.33923167422218
"~ageclass * cond + djfm + ageclass * Lprev","~1","~1","~Sex + ageclass","S(~ageclass * cond + djfm + ageclass * Lprev)p(~1)r(~1)F(~Sex + ageclass)",20,5083.32219985646,52.18,0,6753.83,1.33923167422218
"~ageclass * cond + ageclass * djfm + ageclass * Hatch + Sex","~1","~ageclass","~Sex + ageclass","S(~ageclass * cond + ageclass * djfm + ageclass * Hatch + Sex)p(~1)r(~ageclass)F(~Sex + ageclass)",27,5083.41670194342,52.28,0,6734.93,1.33923167422218
"~ageclass * cond + ageclass * djfm + Sex","~1","~1","~Sex + ageclass","S(~ageclass * cond + ageclass * djfm + Sex)p(~1)r(~1)F(~Sex + ageclass)",20,5083.93531259551,52.8,0,6754.65,1.33923167422218
"~ageclass * cond + djfm + ageclass * Lprev","~1","~ageclass","~Sex + ageclass","S(~ageclass * cond + djfm + ageclass * Lprev)p(~1)r(~ageclass)F(~Sex + ageclass)",23,5085.8348296254,54.7,0,6749.05,1.33923167422218
"~ageclass * djfm + Sex","~1","~ageclass","~Sex * ageclass","S(~ageclass * djfm + Sex)p(~1)r(~ageclass)F(~Sex * ageclass)",22,5086.00647518032,54.87,0,6752,1.33923167422218
"~ageclass * cond + ageclass * djfm + ageclass * Lprev","~1","~ageclass","~Sex + ageclass","S(~ageclass * cond + ageclass * djfm + ageclass * Lprev)p(~1)r(~ageclass)F(~Sex + ageclass)",26,5086.10130564583,54.96,0,6741.25,1.33923167422218
"~ageclass * cond + ageclass * djfm + Sex + Morph + ageclass * Lprev + ageclass * Ekto","~1","~ageclass","~Sex + ageclass","S(~ageclass * cond + ageclass * djfm + Sex + Morph + ageclass * Lprev + ageclass * Ekto)p(~1)r(~ageclass)F(~Sex + ageclass)",32,5086.50478411236,55.37,0,6725.43,1.33923167422218
"~ageclass * cond + ageclass * djfm + Sex + Morph + ageclass * Lprev + ageclass * Ekto","~1","~ageclass","~1","S(~ageclass * cond + ageclass * djfm + Sex + Morph + ageclass * Lprev + ageclass * Ekto)p(~1)r(~ageclass)F(~1)",28,5086.59215270309,55.45,0,6736.46,1.33923167422218
"~ageclass * djfm + ageclass * Hatch + Sex","~1","~ageclass","~1","S(~ageclass * djfm + ageclass * Hatch + Sex)p(~1)r(~ageclass)F(~1)",19,5087.04026995945,55.9,0,6761.52,1.33923167422218
"~ageclass * cond + ageclass * djfm + Sex","~1","~1","~Sex * ageclass","S(~ageclass * cond + ageclass * djfm + Sex)p(~1)r(~1)F(~Sex * ageclass)",23,5087.17895852755,56.04,0,6750.85,1.33923167422218
"~ageclass * cond + Sex","~time + ageclass","~1","~1","S(~ageclass * cond + Sex)p(~time + ageclass)r(~1)F(~1)",26,5087.66488873627,56.53,0,6743.35,1.33923167422218
"~ageclass * djfm + ageclass * Hatch + Sex","~1","~ageclass","~Sex + ageclass","S(~ageclass * djfm + ageclass * Hatch + Sex)p(~1)r(~ageclass)F(~Sex + ageclass)",23,5088.09493148698,56.96,0,6752.08,1.33923167422218
"~ageclass + Sex","~time + ageclass","~1","~Sex + ageclass","S(~ageclass + Sex)p(~time + ageclass)r(~1)F(~Sex + ageclass)",26,5088.12186717531,56.98,0,6743.96,1.33923167422218
"~ageclass * cond + ageclass * djfm + ageclass * Lprev","~1","~1","~Sex + ageclass","S(~ageclass * cond + ageclass * djfm + ageclass * Lprev)p(~1)r(~1)F(~Sex + ageclass)",23,5088.2810083285,57.14,0,6752.33,1.33923167422218
"~ageclass * cond + djfm + ageclass * Lprev","~1","~1","~Sex * ageclass","S(~ageclass * cond + djfm + ageclass * Lprev)p(~1)r(~1)F(~Sex * ageclass)",23,5088.44811907141,57.31,0,6752.55,1.33923167422218
"~ageclass * cond + ageclass * djfm + ageclass * Hatch + Sex","~1","~1","~Sex + ageclass","S(~ageclass * cond + ageclass * djfm + ageclass * Hatch + Sex)p(~1)r(~1)F(~Sex + ageclass)",24,5088.71318990186,57.57,0,6750.19,1.33923167422218
"~ageclass * cond + ageclass * djfm + ageclass * Hatch + Sex","~1","~ageclass","~Sex * ageclass","S(~ageclass * cond + ageclass * djfm + ageclass * Hatch + Sex)p(~1)r(~ageclass)F(~Sex * ageclass)",30,5088.79225469377,57.65,0,6733.95,1.33923167422218
"~ageclass * cond + djfm + ageclass * Lprev","~1","~ageclass","~Sex * ageclass","S(~ageclass * cond + djfm + ageclass * Lprev)p(~1)r(~ageclass)F(~Sex * ageclass)",26,5091.10245677518,59.96,0,6747.95,1.33923167422218
"~ageclass * cond + ageclass * djfm + ageclass * Lprev","~1","~ageclass","~Sex * ageclass","S(~ageclass * cond + ageclass * djfm + ageclass * Lprev)p(~1)r(~ageclass)F(~Sex * ageclass)",29,5091.23626054721,60.1,0,6739.95,1.33923167422218
"~ageclass * cond + ageclass * djfm + Sex + Morph + ageclass * Lprev + ageclass * Ekto","~1","~ageclass","~Sex * ageclass","S(~ageclass * cond + ageclass * djfm + Sex + Morph + ageclass * Lprev + ageclass * Ekto)p(~1)r(~ageclass)F(~Sex * ageclass)",35,5091.91434942393,60.77,0,6724.47,1.33923167422218
"~1","~time + ageclass","~ageclass","~Sex + ageclass","S(~1)p(~time + ageclass)r(~ageclass)F(~Sex + ageclass)",25,5091.92044468903,60.78,0,6751.77,1.33923167422218
"~ageclass * cond + ageclass * djfm + Sex + Morph + ageclass * Lprev + ageclass * Ekto + ageclass * ageclass * Hatch + ageclass * Rank * Brood_Size","~time + ageclass","~1","~1","S(~ageclass * cond + ageclass * djfm + Sex + Morph + ageclass * Lprev + ageclass * Ekto + ageclass * ageclass * Hatch + ageclass * Rank * Brood_Size)p(~time + ageclass)r(~1)F(~1)",55,5092.11798221901,60.98,0,6669.66,1.33923167422218
"~ageclass + Sex","~time + ageclass","~1","~Sex * ageclass","S(~ageclass + Sex)p(~time + ageclass)r(~1)F(~Sex * ageclass)",29,5092.26782217063,61.13,0,6741.34,1.33923167422218
"~ageclass * cond + ageclass * djfm + ageclass * Hatch + Sex","~1","~1","~Sex * ageclass","S(~ageclass * cond + ageclass * djfm + ageclass * Hatch + Sex)p(~1)r(~1)F(~Sex * ageclass)",27,5092.43508183428,61.3,0,6747.01,1.33923167422218
"~ageclass * djfm + ageclass * Hatch + Sex","~1","~ageclass","~Sex * ageclass","S(~ageclass * djfm + ageclass * Hatch + Sex)p(~1)r(~ageclass)F(~Sex * ageclass)",26,5093.27930194403,62.14,0,6750.86,1.33923167422218
"~ageclass * cond + ageclass * djfm + ageclass * Lprev","~1","~1","~Sex * ageclass","S(~ageclass * cond + ageclass * djfm + ageclass * Lprev)p(~1)r(~1)F(~Sex * ageclass)",26,5093.42371310434,62.28,0,6751.06,1.33923167422218
"~ageclass * cond + ageclass * djfm + Sex + Morph + ageclass * Lprev + ageclass * Ekto + ageclass * ageclass * Hatch + ageclass * Rank","~1","~ageclass","~1","S(~ageclass * cond + ageclass * djfm + Sex + Morph + ageclass * Lprev + ageclass * Ekto + ageclass * ageclass * Hatch + ageclass * Rank)p(~1)r(~ageclass)F(~1)",36,5095.72921151321,64.59,0,6726.84,1.33923167422218
"~ageclass * cond + ageclass * djfm + Sex + Morph + ageclass * Lprev + ageclass * Ekto","~1","~1","~Sex + ageclass","S(~ageclass * cond + ageclass * djfm + Sex + Morph + ageclass * Lprev + ageclass * Ekto)p(~1)r(~1)F(~Sex + ageclass)",29,5096.38212151559,65.24,0,6746.85,1.33923167422218
"~ageclass * cond + ageclass * djfm + Sex + Morph + ageclass * Lprev + ageclass * Ekto + ageclass * ageclass * Hatch + ageclass * Rank","~1","~ageclass","~Sex + ageclass","S(~ageclass * cond + ageclass * djfm + Sex + Morph + ageclass * Lprev + ageclass * Ekto + ageclass * ageclass * Hatch + ageclass * Rank)p(~1)r(~ageclass)F(~Sex + ageclass)",40,5096.50547503432,65.37,0,6716.91,1.33923167422218
"~1","~time + ageclass","~ageclass","~Sex * ageclass","S(~1)p(~time + ageclass)r(~ageclass)F(~Sex * ageclass)",28,5097.23056596216,66.09,0,6750.71,1.33923167422218
